review,85 Percentile Top Topics,90 Percentile Top topics,sentiment_label,sentiment_class_probs,lime_word_attributions_sentiment,emotion,emotion_class_probabilities,lime_word_attributions_first_class_emotion,lime_word_attributions_second_class_emotion,lime_word_attributions_third_class_emotion
 Staff were friendly and prepared to put things right when they went wrong,,"{3: 0.2476541996345817, 0: 0.10319988771479165}",Positive,"{'positive': 0.91277075, 'negative': 0.08722919}","[('Staff', 0.1333253060693106), ('friendly', 0.08184580098591693), ('prepared', 0.061024742550811806), ('went', 0.05215867080231892), ('and', 0.042276619731683396), ('wrong', -0.04191919369870085), ('right', 0.034979658876123206), ('when', 0.03206719374731567), ('were', -0.014390309092056694), ('they', -0.01304517160604973), ('to', 0.004785526022236849), ('things', 0.003100205873620221), ('put', -0.001036071247903351)]",optimism,"{'optimism': 0.9300393462181091, 'anticipation': 0.39091211557388306, 'trust': 0.338037371635437, 'anger': 0.3091602325439453, 'disgust': 0.13603031635284424, 'joy': 0.12822753190994263, 'pessimism': 0.08712154626846313, 'fear': 0.06258097290992737, 'sadness': 0.03846149146556854, 'surprise': 0.025007424876093864, 'love': 0.021303992718458176}","[('prepared', 0.28662192734720676), ('friendly', 0.25530073845374224), ('right', 0.13589450106515527), ('to', 0.07445530496317848), ('went', 0.05916162455829624), ('put', 0.05807697753324864), ('things', 0.054932326183647046), ('wrong', -0.050062681938960504), ('Staff', 0.013275769636455314), ('were', -0.008144757204653304), ('they', 0.004811971622666078), ('and', 0.004058775329118632), ('when', -0.0018092561891018889)]","[('prepared', 0.2068268681449882), ('and', -0.1499665981895939), ('friendly', -0.0707778769130392), ('when', 0.05434442690116666), ('wrong', -0.05134644470984016), ('right', 0.046830122658116376), ('Staff', 0.04282035151003443), ('went', 0.024240254595022787), ('to', 0.017583241192979954), ('put', -0.00733825087268825), ('were', -0.004023302166582744), ('things', -0.0022011807050112105), ('they', 0.0002303071097817278)]","[('prepared', 0.1462777704215043), ('right', 0.09210398761830531), ('friendly', 0.06437759427916454), ('things', 0.048800857361735395), ('put', 0.04030398963406323), ('Staff', -0.03556725378169161), ('when', 0.03515564012541594), ('wrong', -0.013905639703890348), ('they', 0.013558647033458972), ('went', 0.011172139332425297), ('and', 0.00913935103329566), ('were', -0.008264015912235474), ('to', 0.007531206197721163)]"
 When I was looking it Appeared to offer good value for money,,"{16: 0.29707992777406034, 0: 0.07859704957404838}",Positive,"{'positive': 0.82441807, 'negative': 0.1755819}","[('good', 0.40668498948850407), ('value', 0.10952893149038531), ('money', -0.07969019852839503), ('it', -0.06837399608740048), ('looking', -0.0487654785564143), ('Appeared', 0.04635181891053217), ('I', 0.046136246672020445), ('offer', 0.04179706480371773), ('When', -0.027570818543739516), ('was', 0.017250471854303485), ('for', 0.0093312943506969), ('to', -0.00866088804355975)]",optimism,"{'optimism': 0.5900546908378601, 'joy': 0.47448745369911194, 'anticipation': 0.3673912286758423, 'trust': 0.04492238163948059, 'surprise': 0.029380008578300476, 'sadness': 0.027971012517809868, 'pessimism': 0.027267582714557648, 'disgust': 0.022935224696993828, 'anger': 0.014777344651520252, 'fear': 0.01120383944362402, 'love': 0.00982869602739811}","[('good', 0.44752739113288037), ('value', 0.16150889417311498), ('Appeared', -0.12706697774830322), ('money', -0.11346903268949508), ('I', 0.10516437976358102), ('When', -0.09288211990426115), ('was', -0.058934263617887866), ('it', 0.04597851087115297), ('looking', 0.04436403209407545), ('for', -0.03757352378475299), ('to', 0.011744884311660445), ('offer', -0.011187506300597817)]","[('good', 0.2898697229263938), ('value', 0.16351411638205043), ('When', -0.14287221988420204), ('money', -0.09976046753543684), ('looking', 0.09455286430860037), ('was', -0.08996675117601476), ('it', 0.07951818018681059), ('I', 0.06069751493029735), ('Appeared', -0.05401178356691405), ('offer', 0.042839778429930635), ('to', -0.0395084383852234), ('for', 0.029356200144014938)]","[('looking', 0.14449282274348535), ('was', 0.1247566332686216), ('I', -0.10952230789097817), ('offer', 0.05288242795439104), ('When', -0.04299281481455678), ('money', -0.02710969432687191), ('good', 0.011338305281795665), ('value', -0.01021994643924915), ('to', 0.008514983703973487), ('it', -0.0050598372522786955), ('for', 0.00189324530581807), ('Appeared', 0.0007092021023162058)]"
 Reasonably priced However I was there in January which i assume is off peak ,,"{16: 1.0, 0: 3.844508932513621e-307}",Positive,"{'positive': 0.8862021, 'negative': 0.11379795}","[('Reasonably', 0.6794318610897792), ('priced', 0.15170958732561698), ('However', -0.11281618040213814), ('off', -0.058254969829344146), ('was', 0.035242396304421504), ('assume', -0.030272293402488056), ('i', 0.02282557373518814), ('I', -0.01911777609887948), ('which', -0.015750739520990206), ('in', 0.00847467456947132), ('there', 0.008356442833247303), ('peak', -0.004895224718312053), ('January', -0.004673296188489844), ('is', -0.003553868736503249)]",anticipation,"{'anticipation': 0.5866934657096863, 'joy': 0.5320857167243958, 'optimism': 0.5157977342605591, 'surprise': 0.05657901242375374, 'trust': 0.04773525521159172, 'fear': 0.02957077883183956, 'sadness': 0.020759858191013336, 'pessimism': 0.020391516387462616, 'disgust': 0.015172581188380718, 'anger': 0.011016988195478916, 'love': 0.00820888951420784}","[('January', 0.20482050901729304), ('However', -0.12544514468197002), ('peak', 0.10344309350977868), ('priced', 0.09111434028463063), ('there', 0.06477161695804574), ('was', 0.060794153225404574), ('I', -0.05801986456877346), ('assume', 0.05596215529739884), ('off', -0.05442023162553254), ('Reasonably', -0.022608901491632107), ('in', 0.02187066528666945), ('is', -0.021756957809624423), ('which', 0.0006863532267391636), ('i', 5.475775243132891e-05)]","[('priced', 0.3060614971760969), ('January', 0.18276173594014997), ('Reasonably', 0.1688044229783929), ('assume', -0.12535013940431472), ('off', -0.07929210829566731), ('i', 0.06941495265738531), ('there', 0.04134131863871965), ('which', -0.04097030775920362), ('However', -0.029116993664010417), ('I', 0.02798336405709143), ('in', 0.01092280849184317), ('is', -0.007175559735660171), ('peak', 0.006128412049631473), ('was', -0.006009309739684977)]","[('Reasonably', 0.2430067936361621), ('priced', 0.14617522638755212), ('January', 0.10058932068335316), ('off', -0.09798432156181858), ('was', -0.07416344771494215), ('there', 0.06952123363956651), ('peak', -0.06729460432906245), ('i', 0.06153476949423058), ('which', -0.04037221145210743), ('I', 0.02188863052283287), ('However', 0.0179922415024033), ('is', -0.006379377038597054), ('in', 0.005546644298740412), ('assume', -0.004336765455888451)]"
 pool on roof location near subway and Primark breakfast ,,"{1: 0.3450862275807259, 0: 0.11392210301655076}",Positive,"{'positive': 0.9912847, 'negative': 0.008715293}","[('location', 0.08645390633090201), ('roof', 0.07125230869155946), ('near', 0.05741210574283284), ('Primark', 0.033636032323811405), ('pool', -0.016083510348717696), ('breakfast', 0.010926715745363027), ('on', -0.007121522299935883), ('and', 0.004760765759680724), ('subway', -0.00048478429115009295)]",anticipation,"{'anticipation': 0.3369375169277191, 'joy': 0.2085956633090973, 'optimism': 0.17709141969680786, 'fear': 0.06932934373617172, 'sadness': 0.05490702763199806, 'surprise': 0.026699813082814217, 'pessimism': 0.023439163342118263, 'disgust': 0.020638464018702507, 'trust': 0.020611140877008438, 'love': 0.0075190067291259766, 'anger': 0.006867003161460161}","[('location', 0.16196251739125678), ('Primark', 0.07130115003508002), ('near', 0.0607820667824341), ('roof', -0.04707103100561666), ('on', -0.04036163498112146), ('and', 0.019351318223334888), ('subway', 0.018097907047611352), ('breakfast', 0.01709983974217689), ('pool', -0.01165045476164385)]","[('location', -0.09795974273846572), ('breakfast', 0.09588514555724899), ('near', -0.08533608449558733), ('pool', 0.08370292240116055), ('roof', 0.05840395983943595), ('Primark', 0.05535078034627648), ('subway', -0.04758115339499095), ('on', 0.041815189994888806), ('and', -0.015510636904274564)]","[('subway', -0.04193338782271525), ('roof', 0.035634722741071045), ('pool', 0.028178844628457933), ('near', 0.025422942580446677), ('on', 0.023562222198327095), ('and', 0.01233256883492748), ('location', 0.003916096303818242), ('Primark', 0.001188261544943258), ('breakfast', -0.0004011865193537984)]"
 The position the pool the bars provision of robes,,"{1: 0.6009530022798137, 0: 0.09643560370089124}",Positive,"{'positive': 0.8844992, 'negative': 0.1155008}","[('position', 0.7192491608574261), ('bars', -0.07848842246164366), ('the', 0.03307633161971072), ('of', 0.017283086012462763), ('robes', -0.0128059237547688), ('The', -0.012403024730052633), ('pool', -0.00742177605147384), ('provision', -0.0002916829934662063)]",anticipation,"{'anticipation': 0.23647856712341309, 'disgust': 0.13412632048130035, 'sadness': 0.11595197767019272, 'anger': 0.05329672247171402, 'pessimism': 0.04637468233704567, 'optimism': 0.03821009397506714, 'fear': 0.03737667202949524, 'joy': 0.02567281201481819, 'surprise': 0.01666705682873726, 'trust': 0.008124347776174545, 'love': 0.00237286021001637}","[('position', 0.11827930912898747), ('robes', 0.07632271762864447), ('provision', -0.033711778241816176), ('the', 0.033482546034584476), ('of', -0.028908389044825736), ('bars', 0.010642139609600169), ('The', -0.00838855512074495), ('pool', 0.0024103101824225113)]","[('pool', -0.10154513161699487), ('provision', 0.09926817357947303), ('robes', -0.08623555799833466), ('the', -0.07240738693601596), ('of', 0.04751204332200671), ('The', 0.04679257585560796), ('bars', 0.03471186499943053), ('position', 0.021308332198759824)]","[('robes', -0.11739781879664715), ('provision', 0.049174286208431194), ('position', 0.03226199911640743), ('pool', -0.0314199563812571), ('the', -0.03075455743573965), ('bars', 0.02760375539251006), ('The', 0.02742005814371432), ('of', -0.0007781696378957189)]"
 I liked how it looked in general nothing was really wrong just it felt like i was in a block i could hear everyone in the hall,,"{7: 0.27908887373992985, 0: 0.0843710198459596}",Positive,"{'negative': 0.7343043, 'positive': 0.26569566}","[('liked', 0.25253669778533444), ('block', -0.1273015661712643), ('was', -0.08827888364556118), ('felt', -0.07708976684707912), ('I', -0.069230104552754), ('wrong', -0.06712876173551725), ('the', -0.06521821338873889), ('everyone', 0.06305721265644056), ('hear', -0.05869232440535628), ('looked', 0.0584160957392118), ('a', 0.0556366106266362), ('hall', -0.05334313647705807), ('it', -0.05011408141161152), ('just', 0.04176213790912388), ('nothing', -0.038682000801539274), ('really', 0.03444266970228974), ('in', 0.02996428262086217), ('like', 0.022194411532853446), ('could', -0.017434587545749378), ('how', 0.014237390583665136), ('general', -0.013784852882068998), ('i', 0.011848176283978579)]",anticipation,"{'anticipation': 0.16982173919677734, 'disgust': 0.13902297616004944, 'fear': 0.09463460743427277, 'sadness': 0.07718813419342041, 'joy': 0.06890865415334702, 'anger': 0.06594117730855942, 'surprise': 0.032693784683942795, 'pessimism': 0.025753237307071686, 'optimism': 0.024431118741631508, 'trust': 0.005761844106018543, 'love': 0.002456123009324074}","[('liked', 0.07379843048266116), ('how', 0.06797509862912937), ('wrong', -0.058812927462581786), ('I', 0.04408205662577437), ('the', -0.041698983208975055), ('block', -0.04150669162211819), ('could', 0.03322771308770378), ('looked', 0.03213132464105756), ('nothing', -0.02888955082679119), ('i', -0.027457757681967104), ('general', 0.025071136235955284), ('just', -0.020525588791923264), ('it', -0.018430796363932758), ('like', -0.017360017373646532), ('in', 0.01532992178068199), ('was', -0.014564189812478145), ('hear', -0.013931882148530217), ('felt', -0.01337107777228571), ('a', -0.010089417370163983), ('everyone', -0.008503459790283278), ('really', 0.006251359482064779), ('hall', -0.0007478272341443854)]","[('wrong', 0.24697290318015583), ('nothing', -0.1980948854503711), ('I', -0.1567524907862988), ('block', 0.0984458287254526), ('like', 0.0915694417049511), ('liked', -0.08806219714345062), ('the', 0.08739401945504743), ('in', 0.07122272641270996), ('hall', -0.06399372679018843), ('everyone', 0.06299343650306162), ('general', -0.0625941710886346), ('looked', -0.05431761022384334), ('i', -0.051491301182015066), ('just', 0.04431999326312075), ('how', -0.04255095403613063), ('could', -0.041154760861150524), ('it', -0.027369311752728994), ('hear', -0.01180411948734522), ('felt', 0.007282006758692351), ('was', -0.005920456676763976), ('really', -0.004854443903156545), ('a', -0.0026371041841803874)]","[('it', -0.04689182948105415), ('how', -0.046735415634174965), ('liked', -0.04011147251178441), ('felt', 0.037255166482431004), ('wrong', 0.034784793904658974), ('like', 0.030876550473859978), ('nothing', 0.027551114795281367), ('was', 0.023808115496289358), ('in', -0.02166363535785679), ('looked', 0.017303213317991516), ('block', 0.015683304833252556), ('a', 0.014159472601065011), ('I', -0.01313503460982644), ('the', 0.012493633264144264), ('just', 0.011217962599612726), ('really', -0.007312318258222552), ('general', 0.007142405087512181), ('hear', 0.005783519390470414), ('could', -0.0019846532203947496), ('i', -0.001145971039884443), ('everyone', -0.0004064058997508144), ('hall', -8.816583047126003e-05)]"
 Tv dint have the children s channel after 5pm not enough channels kids movie channels Missed having bathrobes and slippers Dint have a good view as we were facing the station as well and had to keep the curtains closed during our stay which was a shame ,,"{0: 0.1665757345604944, 2: 0.09261833818678404}",Negative,"{'negative': 0.9904304, 'positive': 0.009569554}","[('good', 0.042214740100349854), ('facing', -0.020727048760810034), ('enough', -0.019914012780827328), ('and', 0.018731322359624415), ('shame', -0.018671728913325508), ('Dint', -0.018309990731579625), ('bathrobes', -0.01808409250081698), ('curtains', -0.016252076334689017), ('closed', -0.015804999607135762), ('during', 0.01440126981057798), ('as', -0.013981519142470918), ('slippers', -0.013516041137598628), ('stay', 0.012509098901892435), ('after', -0.01214363047368341), ('were', 0.011575515156303576), ('dint', -0.010565177078087214), ('well', -0.010320983760194006), ('not', -0.009535329396241458), ('channels', -0.009494850030995297), ('Tv', -0.009058045164200806), ('a', 0.008491705020089314), ('kids', -0.008265385887780237), ('our', 0.007745218350831493), ('had', -0.0073803832986537405), ('s', 0.007133738786720584)]",sadness,"{'sadness': 0.9448577761650085, 'disgust': 0.819614589214325, 'anger': 0.6574299931526184, 'pessimism': 0.25747108459472656, 'fear': 0.07335153967142105, 'anticipation': 0.023132018744945526, 'surprise': 0.01968446373939514, 'joy': 0.010332237929105759, 'love': 0.005462908186018467, 'optimism': 0.004435866139829159, 'trust': 0.002988203661516309}","[('shame', 0.24804492111285434), ('Dint', 0.10162996502514285), ('not', 0.07764667043844456), ('Missed', 0.07665611321836599), ('channels', 0.05623053268752186), ('children', 0.05507225577356848), ('the', -0.050612432164474495), ('was', 0.049853166659296656), ('a', 0.0460215520540509), ('bathrobes', 0.041538014224528824), ('good', -0.03752969939541606), ('well', -0.0343869713561128), ('which', 0.03281766474819244), ('had', 0.03254820929571372), ('view', -0.031037361763163726), ('our', -0.029896050178452677), ('have', 0.02949696421341852), ('during', 0.028496129416256757), ('curtains', -0.028336767553142964), ('were', -0.02780381310961365), ('Tv', 0.027609524626558288), ('closed', 0.026297370973160563), ('having', 0.026139597589725866), ('keep', -0.025302615254748872), ('channel', -0.01985758978980989)]","[('shame', 0.5893593395121632), ('not', 0.1068372572423908), ('our', -0.09656660455513243), ('closed', 0.08588905082867572), ('view', -0.07309025575604), ('Dint', 0.07206356250453719), ('during', 0.06520662759559122), ('a', 0.060246549156838226), ('stay', -0.05693685925555502), ('s', -0.05672857175601439), ('5pm', 0.054255244897572934), ('movie', -0.04886800656515835), ('good', -0.048396565071491614), ('enough', 0.035758850547005686), ('well', -0.03431492411345268), ('have', 0.032316784289604626), ('dint', -0.031218061218545753), ('kids', -0.03100631208728982), ('keep', -0.024934137712179786), ('bathrobes', 0.02485592671780391), ('the', -0.024360766543104432), ('children', -0.01734869647008934), ('having', 0.011147315493045965), ('facing', 0.010818343069567422), ('had', 0.0075542216125954464)]","[('shame', 0.5793173076455994), ('not', 0.12381301794460796), ('our', -0.12079875841245546), ('closed', 0.09916670024659048), ('view', -0.0823129642214032), ('Dint', 0.08023741433657944), ('5pm', 0.0698983679086831), ('during', 0.06708590543798643), ('good', -0.06526790914784827), ('stay', -0.06297992596884341), ('s', -0.05190425235362463), ('movie', -0.04907196819195782), ('dint', -0.046159387940691125), ('a', 0.03932062327347638), ('well', -0.03894612651759715), ('which', -0.03649749026007229), ('the', -0.032032986157193674), ('kids', -0.03156249702818781), ('enough', 0.03026447567316522), ('have', 0.027770232369452478), ('having', 0.020743075076507737), ('keep', -0.019655220289189222), ('Missed', -0.018223454762974677), ('curtains', -0.014287676112124831), ('after', 0.011141524602852214)]"
 The room was poorly furnished for two people Inadequate hanging space and not enough drawer space One morning we had no hot water in the shower and had to call for assistance to get hot water in the bath and taps There was no decafinated coffee in the breakfast room,,"{0: 0.20527140925438367, 2: 0.11459396359208177}",Negative,"{'negative': 0.9927308, 'positive': 0.007269185}","[('furnished', 0.005834852835796646), ('poorly', -0.005274993900714343), ('Inadequate', -0.004609360123945289), ('There', -0.004078760517506376), ('the', 0.003418182513590516), ('we', -0.002935957278456568), ('not', -0.002674682120892376), ('water', -0.002645082279593057), ('hanging', -0.002338308612392491), ('two', -0.002076582265891962), ('people', 0.0020109348022455563), ('shower', -0.0019471460074455172), ('drawer', -0.0019427636937269588), ('decafinated', -0.0017127800763517484), ('space', 0.001556797017306799), ('taps', -0.0013342570557726017), ('for', -0.001214555959674713), ('bath', 0.0010197993125881312), ('get', 0.000826303560610091), ('call', -0.0007764165046820566), ('The', -0.0007264652918180538), ('breakfast', -0.000655667070864254), ('hot', -0.0006460620411999327), ('in', -0.0006280357693631274), ('enough', -0.0003985309028639936)]",sadness,"{'sadness': 0.9139539003372192, 'disgust': 0.9113782644271851, 'anger': 0.9056574702262878, 'pessimism': 0.24167074263095856, 'fear': 0.04008468985557556, 'anticipation': 0.022870304062962532, 'surprise': 0.014943821355700493, 'joy': 0.007064587902277708, 'optimism': 0.0052779256366193295, 'love': 0.005012333858758211, 'trust': 0.004465061705559492}","[('no', 0.19260518559647677), ('poorly', 0.14066644337248269), ('Inadequate', 0.10963312831525837), ('room', 0.05855688410505843), ('to', 0.05106383778485609), ('not', 0.050509819368282076), ('hot', -0.047188730459448755), ('two', -0.04408746919841108), ('breakfast', 0.04387284175474298), ('space', 0.042178358151852426), ('was', -0.03705004066013541), ('decafinated', -0.0352191564072875), ('in', -0.03516431836383402), ('water', 0.03467688124200516), ('taps', -0.033893890647182144), ('for', -0.03136801154560719), ('bath', -0.027207975676965115), ('enough', 0.026546870950770404), ('had', 0.02502947900707007), ('furnished', 0.022620533094123468), ('people', 0.022619111521518392), ('drawer', -0.022091287533511614), ('get', 0.021789974473852666), ('and', 0.018833746357995538), ('assistance', -0.016470099337639797)]","[('no', 0.13273376185450708), ('poorly', 0.10432717134036898), ('Inadequate', 0.06451333668363023), ('not', 0.055502140213703866), ('two', -0.048449661182378125), ('had', 0.04224898322697886), ('we', -0.04166227579274926), ('to', 0.040090000723539465), ('people', 0.03854773798914165), ('decafinated', 0.037240783506480205), ('bath', -0.03456303539826089), ('There', 0.034386478083551615), ('hot', -0.030101944833917878), ('breakfast', -0.02754054077803626), ('One', 0.026918671164456367), ('assistance', -0.026911376841549654), ('enough', 0.025550148887127786), ('taps', -0.02522390811519006), ('and', 0.024956380291293743), ('drawer', -0.02444235734678211), ('for', -0.024188013383722992), ('hanging', 0.02151456259979715), ('room', 0.019821140181157285), ('call', 0.016456284648017988), ('furnished', -0.01605783817612937)]","[('no', 0.11930631178677402), ('poorly', 0.0982449678569702), ('Inadequate', 0.06228306323731038), ('not', 0.06204391116722649), ('we', -0.05855913611531034), ('There', 0.05666998260290345), ('two', -0.05630863485665453), ('decafinated', 0.05213364717337491), ('breakfast', -0.04170631629935959), ('enough', 0.039878925189751516), ('assistance', -0.03860971139687493), ('bath', -0.03802439852390853), ('and', 0.03736231499694046), ('had', 0.03692914852836024), ('people', 0.03682649617258634), ('to', 0.034706717409761605), ('furnished', -0.03424280462091297), ('drawer', -0.03254560035742067), ('call', 0.031953851863343326), ('One', 0.027821102088592127), ('hanging', 0.020930462754636423), ('shower', -0.019536686015258965), ('was', 0.019315791298451363), ('hot', -0.014997318825382359), ('The', 0.013766104065251583)]"
 bathroom and size of bedroom service at breakfast a little bit distracted ,,"{0: 0.21087785347024757, 2: 0.09839710854202176}",Negative,"{'negative': 0.9852432, 'positive': 0.014756817}","[('bathroom', -0.12293874376627541), ('distracted', -0.10417066450124239), ('bit', -0.0781700883811925), ('at', 0.03709219000164096), ('and', 0.0356873176642724), ('little', -0.0274473180189671), ('size', 0.015345895967901512), ('breakfast', -0.00984808307364929), ('of', -0.005936583560948589), ('service', -0.0043974682186172665), ('bedroom', -0.001926854780121971), ('a', -0.0015030151660214166)]",disgust,"{'disgust': 0.603398859500885, 'sadness': 0.4904738664627075, 'surprise': 0.4226212799549103, 'anger': 0.4130886495113373, 'anticipation': 0.3572770655155182, 'pessimism': 0.13196159899234772, 'fear': 0.12529580295085907, 'joy': 0.05836857110261917, 'trust': 0.009896727278828621, 'optimism': 0.00672261044383049, 'love': 0.0065804291516542435}","[('distracted', 0.321119145993751), ('service', 0.13387874639584743), ('breakfast', -0.11620026270369212), ('at', 0.10228028550606924), ('of', 0.08371588362595994), ('little', -0.07722100984071464), ('and', 0.061781037756302365), ('bedroom', -0.03302842608975896), ('size', 0.03270842490764725), ('bathroom', 0.02110996731873059), ('a', 0.010789448215890696), ('bit', -0.003107671069146934)]","[('distracted', 0.2765420462964701), ('bathroom', 0.09577105914095503), ('little', -0.0917009943863958), ('and', 0.07561530630590196), ('bit', -0.048415404305149255), ('a', -0.0280281834983139), ('service', -0.014267551596359547), ('at', -0.009662386173751567), ('bedroom', 0.008946408036485437), ('size', -0.007457370081175474), ('of', -0.0031455963519050143), ('breakfast', 0.0016491568987732528)]","[('size', 0.15750443496978278), ('distracted', 0.10420336610257853), ('bedroom', 0.08404898415260025), ('bit', 0.03767988584398543), ('little', 0.03347399873145401), ('bathroom', -0.03329365092827554), ('of', 0.032471460333543034), ('at', 0.030976746692728076), ('and', 0.02538118256417917), ('breakfast', 0.024240453864896285), ('service', 0.020941653512293705), ('a', -0.01424461122602035)]"
 The sound of aircon or fan that reverberated in the walls outside at night ,,"{9: 0.17795417005929615, 10: 0.11202696291490054}",Negative,"{'negative': 0.9942415, 'positive': 0.005758507}","[('reverberated', -0.017255397962168982), ('sound', -0.016056217108129132), ('fan', -0.015605877518113112), ('aircon', -0.012884167461924993), ('walls', -0.007739711105329373), ('outside', -0.006506951351170021), ('at', 0.006311533071905688), ('that', 0.00558737323840827), ('night', -0.004582346707819822), ('in', -0.004581276619775729), ('or', -0.003926607995215353), ('The', 0.0037128433948368732), ('the', 0.0003171046115306568), ('of', -0.0002435942659122956)]",disgust,"{'disgust': 0.26324379444122314, 'sadness': 0.15252919495105743, 'joy': 0.12799426913261414, 'anger': 0.10631682723760605, 'anticipation': 0.06594128161668777, 'fear': 0.06088297441601753, 'surprise': 0.028292015194892883, 'pessimism': 0.026503069326281548, 'optimism': 0.011926969513297081, 'love': 0.008508920669555664, 'trust': 0.004865466151386499}","[('fan', -0.1353210018008801), ('that', 0.07335502779207786), ('reverberated', -0.051051676690114955), ('walls', 0.046848272291282196), ('night', 0.04137886452486899), ('The', 0.0384208574730315), ('at', 0.028032696517989186), ('or', 0.010284897584551115), ('sound', 0.009786143380140324), ('outside', -0.002862936121949073), ('aircon', 0.0023438919273412484), ('in', -0.001305621139210532), ('the', 0.0009751404544167961), ('of', -0.0008698544986269136)]","[('reverberated', -0.0865589206166196), ('sound', 0.04748836406855744), ('night', 0.04057465360034136), ('fan', -0.035153002657850825), ('or', 0.03421942670940515), ('walls', 0.030343843682769274), ('at', 0.026564917775791164), ('the', 0.021088033402127122), ('in', 0.017916326743525487), ('that', -0.017183995013586244), ('The', -0.015905977898350868), ('aircon', 0.015617389060112884), ('of', -0.007023534867742299), ('outside', 0.004146063146699305)]","[('reverberated', 0.07347019848294636), ('or', -0.05494643622516559), ('fan', 0.04673060045639226), ('of', 0.036159262911451), ('sound', 0.035546557517494075), ('walls', -0.03175324714139462), ('aircon', -0.020424806649504246), ('that', -0.018528771142249996), ('The', -0.012777744623502089), ('outside', 0.011109882728148343), ('in', -0.00760506083805373), ('at', 0.004803508394442094), ('the', -0.003882125156912035), ('night', 0.0009507815052045098)]"
 Not enough tea milk sugar in rooms Constant blowing fan noise even though the aircon was turned off It kept me awake at night ,,"{9: 0.24645332158036173, 0: 0.12152995726399818}",Negative,"{'negative': 0.99450904, 'positive': 0.005491006}","[('aircon', -0.0030355768998797457), ('noise', -0.002674265654407103), ('tea', -0.0025290078360475717), ('fan', -0.0024906552706691837), ('turned', -0.001797077239096308), ('milk', -0.0017513338433998514), ('awake', -0.0017204148362523842), ('rooms', -0.0016432062940705558), ('blowing', -0.0015837395547093997), ('enough', -0.0015338774382714125), ('at', -0.0014714507504924302), ('in', 0.001395566830593219), ('the', 0.0013941814720579003), ('Constant', -0.0008054902549880233), ('me', 0.000732956239049926), ('sugar', -0.0006965697598542336), ('even', 0.0006716398525954995), ('Not', -0.0006463838130885477), ('was', -0.000627711626618042), ('night', 0.0005612021817147074), ('though', 0.00029132641930922423), ('off', 0.00017278328975947157), ('kept', 6.226443294832559e-05), ('It', -6.882098577823937e-06)]",sadness,"{'sadness': 0.9430252909660339, 'disgust': 0.665860116481781, 'anger': 0.6456456780433655, 'pessimism': 0.25996869802474976, 'joy': 0.05804677680134773, 'anticipation': 0.022806594148278236, 'surprise': 0.019406255334615707, 'fear': 0.017841976135969162, 'optimism': 0.012203465215861797, 'love': 0.011578857898712158, 'trust': 0.004784056916832924}","[('Not', 0.3797799376235505), ('enough', 0.2987985674779528), ('turned', 0.08224549651151454), ('me', 0.07675253431445911), ('It', -0.06987027411196092), ('noise', 0.0686825852322429), ('awake', 0.06542214698429778), ('night', 0.061892571149954105), ('sugar', -0.053277749079117455), ('off', 0.04820808201526987), ('was', 0.04383078512773043), ('aircon', -0.042217478033392174), ('fan', -0.03926765270313982), ('the', 0.03859123709150957), ('even', 0.037504549866010664), ('though', -0.028034347519209975), ('in', -0.026067931562344326), ('rooms', -0.023411308110672355), ('blowing', 0.017971882008238786), ('Constant', 0.012398328257225111), ('kept', -0.011762544512847964), ('tea', 0.00869138083559104), ('at', -0.006127824653009636), ('milk', 0.0016384755503833109)]","[('Not', 0.3624778533010611), ('enough', 0.286650291074622), ('kept', -0.17924128009914403), ('noise', 0.12353098519548474), ('It', -0.10093115958796343), ('blowing', 0.09300009367030358), ('even', 0.06977184135752657), ('me', -0.061507985204591276), ('fan', -0.058893823117988256), ('the', 0.05188252615158768), ('Constant', -0.0422883825071244), ('aircon', -0.040558613457663775), ('in', 0.040029949451919296), ('was', -0.03770756057741875), ('at', 0.033246934932518034), ('sugar', 0.029832169626678444), ('though', -0.027221318989105864), ('rooms', 0.024857836873125164), ('milk', -0.023775230822828366), ('awake', 0.01900811647557178), ('tea', -0.01342844222133633), ('night', 0.013140073607540865), ('turned', 0.002028824186005707), ('off', 0.0008546174270961588)]","[('Not', 0.3377861784810822), ('enough', 0.2643744620148089), ('kept', -0.19954434968944806), ('blowing', 0.12435871349790537), ('noise', 0.12382311692852159), ('in', 0.08545909970558778), ('It', -0.08294579513242072), ('me', -0.06854360143725315), ('even', 0.06626033097649571), ('fan', -0.061193582760912746), ('the', 0.05771499937407089), ('was', -0.05268924593287827), ('sugar', 0.05094904445377985), ('at', 0.03511253707859133), ('aircon', -0.02898371023309095), ('rooms', 0.02873548228922291), ('though', -0.02588671752351253), ('Constant', -0.02432892831525194), ('turned', -0.02171630943761561), ('milk', -0.019509301134293378), ('tea', -0.018229640375431747), ('night', 0.01580288417631186), ('off', -0.009944911145114034), ('awake', 0.007168718542582231)]"
